ID,TITLE,DESCRIPTION,IMAGE,DIRECTOR,YEAR
,"""Harry Potter and the Chamber of Secrets""","""Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.""","""/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg""",Chris Columbus,2002
,"""Fast X""","""Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever."",","""/fiVW06jE7z9YnO4trhaMEdclSiC.jpg""",Louis Leterrier,2023
,"""How the Grinch Stole Christmas","""The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...""","""/1WZbbPApEivA421gCOluuzMMKCk.jpg""",Ron Howard,2000
,"""Avatar","""In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."",","""/kyeqWdyUXW608qlYkRqosgbbJyK.jpg""",James Cameron,2009
,"""The Hunger Games: The Ballad of Songbirds & Snakes"",","""64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12."",
"," ""/mBaXZ95R2OxueZhvQbcEWy2DqyO.jpg"",
",Francis Lawrence,2023
,"""The Shawshank Redemption""","""Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.""","""/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg""",Frank Darabont,1994
,"""Oppenheimer""","""The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II."",
","""/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg"",
",Christopher Nolan,2023
,"""Inception""","""Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: \""inception\"", the implantation of another person's idea into a target's subconscious.""","""/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg""",Christopher Nolan,2010
,"""Toy Story""","""Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.""","""/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg""",John Lasseter,1995
,"""Coraline""","""A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.""","""/4jeFXQYytChdZYE9JYO7Un87IlW.jpg""",Henry Selick,2009
,"""The Nightmare Before Christmas"",","""Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans."",
","""/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg"",
",Henry Selick,1993
,"""A Beautiful Mind""","""John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.""","""/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg""",Ron Howard,2001
,"""The Lord of the Rings: The Fellowship of the Ring""","""Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.""","""/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg""",Peter Jackson,2001
,"""Shrek""","""It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.""","""/dyhaB19AICF7TO7CK2aD6KfymnQ.jpg""","Andrew Adamson, Vicky Jenson",2001
,"""Spider-Man: No Way Home""","""Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.""","""/5weKu49pzJCt06OPpjvT80efnQj.jpg""",Jon Watts,2021
,"""Black Panther: Wakanda Forever""","""Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.""","""/sv1xJUazXeYqALzczSZ3O6nkH75.jpg""",Ryan Coogler,2022
,"""Space Wars: Quest for the Deepstar""","""A father and daughter team of space scavengers race against a band of evil mercenaries to reach a legendary lost freighter called the Deepstar. Along their trek through the universe, they encounter monsters, aliens, robots, and something even worse.""","""/lVoJVFyAyEPfxYnbp3Tem5FXipe.jpg""",Garo Setian,2023
,"""Casablanca""","""In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.""","""/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg""",Michael Curtiz,1943
,"""National Lampoon's Christmas Vacation""","""It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.""","""/gL8ZDtAy8vO95aAnv1H5CR4CGMA.jpg""",Jeremiah S. Chechik,1989
,"""Parasite"",
","""All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident."",
","""/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg"",
",Bong Joon-ho,2019
,"""Wonka""","""Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.""","""/qhb1qOilapbapxWQn9jtRCMwXJF.jpg""",Paul King,2023
,"""The Godfather"",
","""Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."",
","""/3bhkrj58Vtu7enYsRolD1fZdja1.jpg"",
",Francis Ford Coppola,1972
